Horizontal Position [m],Intensity [ph/s/.1%bw/mm²]
-3.536523713e-4,3.155893944e+12
-3.518098114e-4,3.428612047e+12
-3.499672516e-4,3.649328382e+12
-3.481246917e-4,3.801405719e+12
-3.462821319e-4,3.872989118e+12
-3.444395720e-4,3.878649594e+12
-3.425970122e-4,3.841271529e+12
-3.407544523e-4,3.807700845e+12
-3.389118925e-4,3.820351128e+12
-3.370693327e-4,3.925434434e+12
-3.352267728e-4,4.141997883e+12
-3.333842130e-4,4.469144158e+12
-3.315416531e-4,4.870348734e+12
-3.296990933e-4,5.290923655e+12
-3.278565334e-4,5.660080079e+12
-3.260139736e-4,5.925163762e+12
-3.241714137e-4,6.057576366e+12
-3.223288539e-4,6.081096974e+12
-3.204862941e-4,6.060055724e+12
-3.186437342e-4,6.089143747e+12
-3.168011744e-4,6.252193645e+12
-3.149586145e-4,6.592110002e+12
-3.131160547e-4,7.083118297e+12
-3.112734948e-4,7.634561270e+12
-3.094309350e-4,8.127688212e+12
-3.075883751e-4,8.459423580e+12
-3.057458153e-4,8.606551376e+12
-3.039032555e-4,8.635201618e+12
-3.020606956e-4,8.684980142e+12
-3.002181358e-4,8.897100251e+12
-2.983755759e-4,9.348584571e+12
-2.965330161e-4,9.989579080e+12
-2.946904562e-4,1.067101297e+13
-2.928478964e-4,1.121253432e+13
-2.910053365e-4,1.150852950e+13
-2.891627767e-4,1.161979914e+13
-2.873202169e-4,1.171515874e+13
-2.854776570e-4,1.202975775e+13
-2.836350972e-4,1.264261058e+13
-2.817925373e-4,1.349812906e+13
-2.799499775e-4,1.431033191e+13
-2.781074176e-4,1.489104798e+13
-2.762648578e-4,1.512520443e+13
-2.744222979e-4,1.526723930e+13
-2.725797381e-4,1.556509465e+13
-2.707371783e-4,1.628929157e+13
-2.688946184e-4,1.731916621e+13
-2.670520586e-4,1.839084234e+13
-2.652094987e-4,1.916254185e+13
-2.633669389e-4,1.959253561e+13
-2.615243790e-4,1.995224750e+13
-2.596818192e-4,2.059146992e+13
-2.578392593e-4,2.164728529e+13
-2.559966995e-4,2.282277883e+13
-2.541541397e-4,2.373022699e+13
-2.523115798e-4,2.423221597e+13
-2.504690200e-4,2.464303127e+13
-2.486264601e-4,2.552805877e+13
-2.467839003e-4,2.703995227e+13
-2.449413404e-4,2.896168590e+13
-2.430987806e-4,3.060092056e+13
-2.412562207e-4,3.183064016e+13
-2.394136609e-4,3.291558288e+13
-2.375711011e-4,3.446102032e+13
-2.357285412e-4,3.647802127e+13
-2.338859814e-4,3.828949503e+13
-2.320434215e-4,3.935442043e+13
-2.302008617e-4,3.981849919e+13
-2.283583018e-4,4.051714441e+13
-2.265157420e-4,4.199833770e+13
-2.246731821e-4,4.377874425e+13
-2.228306223e-4,4.538592605e+13
-2.209880625e-4,4.672005027e+13
-2.191455026e-4,4.884432264e+13
-2.173029428e-4,5.247254659e+13
-2.154603829e-4,5.731409881e+13
-2.136178231e-4,6.257079065e+13
-2.117752632e-4,6.795935560e+13
-2.099327034e-4,7.450681095e+13
-2.080901435e-4,8.318267005e+13
-2.062475837e-4,9.304866292e+13
-2.044050239e-4,1.030368862e+14
-2.025624640e-4,1.127950183e+14
-2.007199042e-4,1.240094799e+14
-1.988773443e-4,1.371787053e+14
-1.970347845e-4,1.503742541e+14
-1.951922246e-4,1.623754329e+14
-1.933496648e-4,1.745913266e+14
-1.915071049e-4,1.883191325e+14
-1.896645451e-4,2.028459199e+14
-1.878219853e-4,2.153548276e+14
-1.859794254e-4,2.266982053e+14
-1.841368656e-4,2.396326336e+14
-1.822943057e-4,2.532635847e+14
-1.804517459e-4,2.647143198e+14
-1.786091860e-4,2.746181621e+14
-1.767666262e-4,2.852923973e+14
-1.749240663e-4,2.972166358e+14
-1.730815065e-4,3.070188249e+14
-1.712389467e-4,3.143679837e+14
